36,0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
242,0,          FUCK YOU!
345,0,     angry
419,0,"  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended! "
473,0, all I want is my ma in my arms  that's all I want is you in my arms
500,0,  6:30...what's wrong wit it?
540,0, - server problems - motivating me to change hosting providers though... #fb
625,0, being told im beautiful doesnt make my tummy better
690,0, :'( this is so horrible
771,0, @lisad stopped talking to me. I should stalk her. ^^
1148,1,- Annnnnd @CarlaNix 's website has LAUNCHED :: http://carlaynix.com :: Bookmark it &amp; check back often. Itinerary 2 b added soon! 
1346,0, APPARENTLY YOU ONLY NEED LIKE 10 LINES ON THE LAST QUESTION! I DID A WHOLE PAGE! UGGGGGGGHHHH
1407,0, bummer. .. what happened to wednesday nights??
1439,0, i feel bad .MewithoutYou.
1827,0, i sat on my chocolate truffles.... so much for saving them for to night *tear
2382,1, I &lt;3 Bobby
2435,0, i am so over it all.  
2459,0, Just found out I don't get to hear from my soldier for another week!!!
2508,0, I cantt sleep -averi tweeting from moms phone
2606,0, I FEEL SO..... REPLACED.
2907,1, my hoodie came today! thank you @ChristopherDXS
2926,0, My perfect work of art on my hand has smudged!  Poooeypoopoo..
3071,0, i think i've killed my laptop
3099,0, I wanted to go cinema......
3219,0," ill, so now school. you'd think i'd be happy because of that "
3504,0, id forgotten how upsetting this is.
3507,0, idk why but my heart just sank when i saw that.
3583,0, such bad luck
3668,0, I've been saying since the beggining of the holidays I would get ALL my work finished. I've done none of it. Its in for tomorrow. Shit.
3838,0, just got sad again
3993,0, mcfly weren't on radiobob yet
4115,1, My IPod Touch 2G is jailbroken
4318,0, not allowed to get a webcam...did i already say that? oh well
4320,0, not going to green man now. So sad
4570,0," Rylee broke my hello kitty snow globe.. EPIC fail.. I had to fuss at her now shes RLY mad at me,double epic fail..  damn  R.I.P. h.k.sg"
4666,1,"#DarkHeresy Classic 'Alien' style Genestealer hijinx, and they haven't got as far as the hulk yet "
4769,0," take care of yourself, and drink lots, and lots, and lots of fluid!!"
5017,0," we are out, I was telling you #PakistanWillWin #PakCricket"
5124,1, yes it's that serious LOL. Nicki Minaj is a beast! Don't act like you didn't know that's my celebrity crush LOL
5211,0,#3aaah git is driving me crazy 
5408,1,#followfriday @weirdralph @Tepherguy @GetBenderNow @ShannonGraham1 @Ericatwitts  #interesting and/or #funny  - more later 
5569,1,#andyclemmensen#andyclemmensen#andyclemmensen#andyclemmensen  I love you 
5767,0, night going to bed early cuz I'm sick
6057,1,#imperfectangel 
6251,0,"#dontyouhate being the youngest in your family, and getting all the hand-me-downs? "
6600,1,#followfriday @AngelWardriver A great digger!  She is a real sweetheart!  And welcome to Twitter! 
6618,0,#MTV Movie Awards borat nigga made eminem leave.. holy shiiittt lmfao 69'd his ass! lmao 
6783,0,#mybreakfast - meat and potato pie and coffee ^^ win. But ow my wrist aswell 
6853,1,#myweakness learn how to use twitter 
6900,1,#gogreensunday  -&gt; @globalflashmob @Jayman888 @papcelebrity @fatfat8ight @Greengamma @GoGreenClean @piece2dot0 @EcoInteractive
6914,0,"#goodsex is when he makes you so wet, when you slide ya fingers across ya lips, you can hear it. "
6964,1,#goodsex: is wen you can feel the shit in yo st0mach.. &amp;&amp; it hurts s0 g0od!! 
7228,1,#staffdev - Hope you're all looking forward to my session on Course Review training! 
7345,0,#iremember ...EXACTLY I was doing that Early Summer Morning I heard Aaliyah Died. RIP 
7464,1,#WWDC is coming up!  New #iphone brewing?
7493,1,#JOMSOCIAL Suggest very very near release  
7506,1,#kugis #Malta09 35.9157 14.4980 8/10 Really good practical experience! I've learnt a lot! Still recovering from the busy week 
7605,1,&amp; my cousin is at my home 
7637,0,#microsoft == evil  The don't have coding for dummies over there?!
8199,1,&quot;...SEVEN DAYS.&quot; - Until my birthday. 
8204,1,&quot;...you're still the one I ?...&quot; -smiles-  ? http://blip.fm/~7jgct
8359,1, true dat
8601,0,&quot;Did #Bing Just Leapfrog #YahooSearch?&quot; on @techcrunch http://bit.ly/YBvv0 Strong SELL for Yahoo  #Google #Microsoft
